,Model,Year,Price,Transmission,Mileage,Fuel_type,Tax,Fuel_cons_mpg,Engine_size,Automatic,Manual,Semi-Auto
309, 5 Series,2019,40000,Semi-Auto,1034,2,145,39.2,3.0,0,0,1
310, 1 Series,2017,21800,Semi-Auto,20294,2,200,39.8,3.0,0,0,1
311, 3 Series,2017,20998,Semi-Auto,30422,1,145,51.4,3.0,0,0,1
312, 3 Series,2017,19698,Semi-Auto,20313,1,145,56.5,3.0,0,0,1
313, 3 Series,2016,21498,Semi-Auto,28775,1,160,51.4,3.0,0,0,1
314, 3 Series,2015,17200,Semi-Auto,6147,2,145,47.9,2.0,0,0,1
315, X5,2013,24000,Automatic,45150,1,200,45.6,3.0,1,0,0
316, 1 Series,2019,26000,Manual,2073,1,145,57.7,1.5,0,1,0
317, 4 Series,2020,27000,Semi-Auto,25,2,145,48.7,2.0,0,0,1
318, 4 Series,2020,27500,Semi-Auto,25,1,145,60.1,2.0,0,0,1
319, X5,2019,52000,Semi-Auto,6500,1,145,37.7,3.0,0,0,1
320, 4 Series,2019,32000,Semi-Auto,4025,1,145,50.4,3.0,0,0,1
321, 2 Series,2015,10498,Manual,27221,1,0,74.3,1.5,0,1,0
322, 3 Series,2013,9985,Manual,75561,1,20,68.9,2.0,0,1,0
323, X4,2015,19485,Manual,53755,1,160,52.3,2.0,0,1,0
324, 3 Series,2013,9965,Semi-Auto,95043,1,30,62.8,2.0,0,0,1
325, X1,2014,10985,Semi-Auto,56952,1,160,52.3,2.0,0,0,1
326, 1 Series,2017,13489,Semi-Auto,59066,1,20,72.4,1.5,0,0,1
327, 3 Series,2016,13994,Semi-Auto,46889,1,30,67.3,2.0,0,0,1
328, 5 Series,2019,35950,Semi-Auto,5137,1,145,51.4,3.0,0,0,1
329, 4 Series,2019,25490,Semi-Auto,8794,1,145,60.1,2.0,0,0,1
330, 5 Series,2019,34900,Semi-Auto,9854,1,145,53.3,3.0,0,0,1
331, 7 Series,2018,42000,Semi-Auto,7123,1,145,52.3,3.0,0,0,1
332, 1 Series,2014,12000,Manual,41500,1,125,57.6,2.0,0,1,0
333, 1 Series,2016,14000,Manual,24678,1,30,65.7,2.0,0,1,0
334, M4,2019,48000,Semi-Auto,2258,2,145,34.0,3.0,0,0,1
335, 2 Series,2019,23950,Semi-Auto,4413,1,145,46.3,2.0,0,0,1
336, 4 Series,2019,26550,Semi-Auto,7292,1,145,58.9,2.0,0,0,1
337, X1,2016,18000,Semi-Auto,46354,1,125,57.6,2.0,0,0,1
338, 6 Series,2018,27990,Semi-Auto,21525,1,150,49.6,3.0,0,0,1
339, 1 Series,2017,13450,Manual,15663,2,150,53.3,1.5,0,1,0
